2 0 2 ..ICC...IJ.L.AAJ.L.HDDDL.H.KEE...KGG A97 C99 D96 E98 G94 H99 I99 J99 K98 L95 
2 0 2 ..ICCL..IJ.L.AAJ.L.HDDD..H.KEE...KGG A97 C99 D96 E98 G94 H99 I99 J99 K98 L96 
2 0 2 ..ICCL..IJ.L.AAJ.L.H.DDD.H.KEE...KGG A97 C99 D97 E98 G94 H99 I99 J99 K98 L96 
2 0 2 ...CCL...J.LAA.J.L.H.DDD.HIKEE..IKGG A98 C99 D97 E98 G94 H99 I95 J99 K98 L96 
2 0 2 ...CCL...J.LAA.J.L.HDDD..HIKEE..IKGG A98 C99 D96 E98 G94 H99 I95 J99 K98 L96 
2 0 2 ...CCL...J.LAA.J.L..DDD..HIKEE.HIKGG A98 C99 D96 E98 G94 H98 I95 J99 K98 L96 
2 0 2 ...CCL...J.LAA.J.LDDD....HIKEE.HIKGG A98 C99 D94 E98 G94 H98 I95 J99 K98 L96 
2 0 2 ...CCL...J.LAA.J.LDDDK...HIKEE.HI.GG A98 C99 D94 E98 G94 H98 I95 J99 K97 L96 
2 0 2 ...CCL...J.LAA.J.LDDDK...HIKEE.HIGG. A98 C99 D94 E98 G93 H98 I95 J99 K97 L96 
2 0 2 ...CC....J.LAA.J.LDDDK.L.HIKEE.HIGG. A98 C99 D94 E98 G93 H98 I95 J99 K97 L95 
2 0 2 ...CC....J.L.AAJ.LDDDK.L.HIKEE.HIGG. A97 C99 D94 E98 G93 H98 I95 J99 K97 L95 
2 0 2 ...CC....J.L.AAJ.LDDDK.L.HIKEE.HI.GG A97 C99 D94 E98 G92 H98 I95 J99 K97 L95 
2 0 2 ...CC....J.L.AAJ.LDDD..L.HIKEE.HIKGG A97 C99 D94 E98 G92 H98 I95 J99 K96 L95 
2 0 2 ...CC....J.L.AAJ.L..DDDL.HIKEE.HIKGG A97 C99 D92 E98 G92 H98 I95 J99 K96 L95 
2 0 2 ...CC....J.L.AAJ.L.HDDDL.HIKEE..IKGG A97 C99 D92 E98 G92 H97 I95 J99 K96 L95 
2 0 2 ....CC...J.L.AAJ.L.HDDDL.HIKEE..IKGG A97 C98 D92 E98 G92 H97 I95 J99 K96 L95 
1 0 1 ...JCC...J.L.AA..L.HDDDL.HIKEE..IKGG A97 C98 D92 E98 G92 H97 I95 J98 K96 L95 
1 0 1 ...JCC...J.L.AA..L..DDDL.HIKEE.HIKGG A97 C98 D92 E98 G92 H96 I95 J98 K96 L95 
1 0 1 ...JCC...J.L.AA..LDDD..L.HIKEE.HIKGG A97 C98 D90 E98 G92 H96 I95 J98 K96 L95 
1 0 1 ...JCC...J.L.AA..LDDDK.L.HIKEE.HI.GG A97 C98 D90 E98 G92 H96 I95 J98 K95 L95 
1 0 1 ...JCC...J.L.AA..LDDDK.L.HIKEE.HIGG. A97 C98 D90 E98 G91 H96 I95 J98 K95 L95 
1 0 1 ...JCC...J.L...AALDDDK.L.HIKEE.HIGG. A95 C98 D90 E98 G91 H96 I95 J98 K95 L95 
1 0 1 ...JCC...J.L..AA.LDDDK.L.HIKEE.HIGG. A96 C98 D90 E98 G91 H96 I95 J98 K95 L95 
